height,weight,label
146,46,nomale
153,67,fat
170,40,tine
151,70,fat
170,65,nomale
150,72,fat
155,47,nomale
180,61,nomale
133,70,fat
135,69,fat
182,57,tine
192,74,nomale
126,58,fat
168,67,nomale
199,58,tine
183,55,tine
196,56,tine
178,43,tine
140,41,nomale
129,69,fat
176,65,nomale
139,58,fat
127,66,fat
198,46,tine
189,59,tine
145,41,nomale
124,75,fat
143,41,nomale
158,35,tine
163,54,nomale
169,71,nomale
174,65,nomale
170,69,nomale
153,74,fat
158,67,fat
137,40,nomale
191,61,tine
194,46,tine
187,68,nomale
160,54,nomale
141,63,fat
121,48,fat
141,55,fat
153,42,tine
183,69,nomale
147,55,fat
153,45,nomale
167,76,fat
163,53,nomale
131,64,fat
187,38,tine
121,37,fat
137,65,fat
133,59,fat
200,53,tine
168,51,tine
165,80,fat
197,55,tine
146,76,fat
191,56,tine
158,44,tine
126,58,fat
122,36,nomale
131,35,nomale
196,75,nomale
127,49,fat
189,75,nomale
139,78,fat
173,51,tine
181,50,tine
188,63,tine
161,55,nomale
199,39,tine
150,40,tine
127,68,fat
142,73,fat
151,76,fat
151,61,fat
123,58,fat
199,79,nomale
196,60,tine
197,62,tine
173,47,tine
132,78,fat
129,37,nomale
159,62,nomale
180,62,nomale
153,64,fat
139,35,tine
126,54,fat
150,80,fat
131,56,fat
136,66,fat
187,53,tine
123,71,fat
169,80,fat
153,45,nomale
132,51,fat
192,45,tine
197,63,tine
193,51,tine
174,40,tine
195,70,tine
144,64,fat
126,78,fat
183,55,tine
172,42,tine
138,70,fat
172,54,tine
170,80,fat
148,41,nomale
143,43,nomale
135,46,fat
180,56,tine
166,47,tine
158,50,nomale
142,35,tine
200,51,tine
183,59,tine
125,78,fat
193,57,tine
164,46,tine
136,58,fat
177,75,nomale
199,38,tine
189,75,nomale
199,71,tine
130,48,fat
172,45,tine
126,61,fat
160,70,fat
130,65,fat
181,65,nomale
153,39,tine
138,38,nomale
183,80,nomale
122,71,fat
195,75,nomale
154,56,nomale
198,44,tine
140,63,fat
139,40,nomale
147,49,nomale
174,59,nomale
169,71,nomale
175,65,nomale
160,41,tine
152,41,tine
187,48,tine
178,53,tine
123,77,fat
192,70,nomale
123,46,fat
165,63,nomale
123,77,fat
151,49,nomale
191,44,tine
164,35,tine
157,47,nomale
135,37,nomale
181,54,tine
172,71,nomale
167,47,tine
164,39,tine
195,80,nomale
200,64,tine
164,66,nomale
196,39,tine
125,74,fat
147,42,nomale
145,70,fat
130,52,fat
158,62,nomale
171,73,nomale
145,65,fat
143,52,fat
131,55,fat
165,53,nomale
137,78,fat
198,52,tine
191,48,tine
189,71,nomale
132,77,fat
148,69,fat
131,80,fat
198,64,tine
166,77,fat
191,74,nomale
156,64,fat
189,44,tine
140,67,fat
136,66,fat
164,64,nomale
150,72,fat
173,77,fat
130,72,fat
185,75,nomale
163,79,fat
167,37,tine
169,69,nomale
151,67,fat
167,39,tine
188,76,nomale
167,79,fat
148,63,fat
200,36,tine
143,69,fat
198,49,tine
173,77,fat
161,39,tine
130,36,nomale
134,68,fat
138,58,fat
128,74,fat
170,57,nomale
172,63,nomale
120,62,fat
189,70,nomale
166,60,nomale
176,67,nomale
143,66,fat
140,63,fat
133,65,fat
136,62,fat
146,50,nomale
156,68,fat
189,77,nomale
173,78,fat
179,44,tine
131,42,nomale
121,68,fat
187,55,tine
146,54,fat
187,43,tine
196,49,tine
194,67,tine
173,56,nomale
164,39,tine
144,52,fat
120,78,fat
197,55,tine
166,66,nomale
199,59,tine
198,77,nomale
192,53,tine
192,72,nomale
140,45,nomale
194,60,tine
159,52,nomale
197,80,nomale
154,38,tine
150,41,tine
134,77,fat
120,36,fat
133,43,nomale
173,69,nomale
139,43,nomale
142,38,nomale
140,49,fat
122,66,fat
141,60,fat
145,58,fat
127,65,fat
182,37,tine
194,37,tine
196,35,tine
175,57,nomale
139,46,nomale
134,47,fat
154,72,fat
142,59,fat
121,67,fat
130,47,fat
143,36,tine
140,67,fat
168,53,nomale
164,66,nomale
133,70,fat
159,60,nomale
194,57,tine
124,35,nomale
154,43,tine
195,65,tine
166,70,fat
176,80,fat
135,41,nomale
171,80,fat
139,40,nomale
144,65,fat
128,57,fat
141,61,fat
136,76,fat
139,50,fat
197,39,tine
145,47,nomale
186,73,nomale
143,65,fat
189,69,nomale
130,69,fat
169,47,tine
180,68,nomale
181,46,tine
179,43,tine
125,80,fat
193,60,tine
163,74,fat
181,73,nomale
157,72,fat
177,64,nomale
130,77,fat
121,67,fat
181,52,tine
153,50,nomale
134,58,fat
129,52,fat
126,53,fat
185,67,nomale
177,59,nomale
161,48,nomale
127,45,fat
192,46,tine
172,59,nomale
165,73,fat
174,43,tine
160,40,tine
120,35,nomale
156,61,fat
182,48,tine
177,74,nomale
178,46,tine
132,70,fat
188,70,nomale
156,48,nomale
187,38,tine
186,65,nomale
176,70,nomale
186,78,nomale
130,52,fat
156,69,fat
183,46,tine
183,37,tine
163,58,nomale
157,67,fat
200,63,tine
144,37,tine
162,73,fat
161,74,fat
140,75,fat
158,67,fat
127,48,fat
122,73,fat
138,71,fat
190,36,tine
199,78,nomale
149,76,fat
192,52,tine
184,37,tine
162,54,nomale
144,38,tine
120,40,fat
177,80,fat
129,63,fat
199,66,tine
194,80,nomale
148,49,nomale
178,63,nomale
148,44,nomale
186,73,nomale
179,45,tine
137,53,fat
186,44,tine
126,66,fat
192,51,tine
181,68,nomale
179,68,nomale
162,50,nomale
122,62,fat
199,41,tine
178,58,tine
188,53,tine
194,52,tine
136,58,fat
192,73,nomale
177,44,tine
138,49,fat
146,55,fat
189,54,tine
193,76,nomale
139,53,fat
182,53,tine
199,55,tine
138,58,fat
189,40,tine
161,78,fat
134,76,fat
163,74,fat
196,76,nomale
144,79,fat
147,38,tine
172,71,nomale
185,46,tine
168,59,nomale
181,51,tine
123,59,fat
172,49,tine
176,51,tine
168,69,nomale
186,69,nomale
160,63,nomale
190,39,tine
165,46,tine
134,47,fat
155,52,nomale
124,42,fat
134,77,fat
195,66,tine
131,35,nomale
187,56,tine
121,70,fat
122,51,fat
166,74,fat
183,77,nomale
194,76,nomale
127,65,fat
180,57,tine
186,60,tine
152,66,fat
197,65,tine
149,76,fat
131,75,fat
169,54,nomale
194,36,tine
125,59,fat
186,46,tine
145,63,fat
120,77,fat
138,46,nomale
164,71,fat
135,73,fat
131,74,fat
147,75,fat
143,41,nomale
184,76,nomale
180,37,tine
166,78,fat
200,69,tine
133,42,nomale
152,49,nomale
193,78,nomale
132,63,fat
174,60,nomale
135,73,fat
172,80,fat
127,45,fat
197,39,tine
160,62,nomale
129,45,fat
140,76,fat
174,40,tine
167,54,nomale
171,45,tine
159,45,tine
136,42,nomale
171,41,tine
128,47,fat
180,35,tine
160,52,nomale
193,76,nomale
180,79,nomale
129,59,fat
190,51,tine
184,53,tine
157,66,fat
195,70,tine
155,57,nomale
178,42,tine
131,58,fat
124,55,fat
138,68,fat
179,37,tine
141,40,nomale
164,58,nomale
140,70,fat
166,70,fat
141,67,fat
176,58,nomale
126,56,fat
167,49,tine
152,36,tine
196,79,nomale
199,79,nomale
164,39,tine
134,69,fat
191,60,tine
146,49,nomale
120,51,fat
132,73,fat
123,61,fat
198,68,tine
160,68,fat
187,62,tine
172,45,tine
182,36,tine
130,52,fat
178,72,nomale
184,64,nomale
173,59,nomale
167,65,nomale
157,47,nomale
146,71,fat
192,78,nomale
173,53,tine
125,69,fat
167,55,nomale
171,52,tine
152,42,tine
189,70,nomale
176,54,tine
178,37,tine
143,38,nomale
168,39,tine
132,46,fat
158,43,tine
192,75,nomale
154,65,fat
128,53,fat
146,37,tine
173,53,tine
133,46,fat
142,52,fat
134,39,nomale
195,77,nomale
136,72,fat
178,75,nomale
193,46,tine
121,78,fat
176,36,tine
184,74,nomale
134,72,fat
175,69,nomale
161,65,fat
142,76,fat
140,70,fat
120,51,fat
191,75,nomale
177,72,nomale
133,60,fat
120,48,fat
152,62,fat
178,72,nomale
198,47,tine
154,71,fat
145,40,nomale
165,52,nomale
162,62,nomale
153,56,nomale
134,71,fat
138,68,fat
143,50,nomale
152,38,tine
151,44,nomale
191,38,tine
159,37,tine
135,35,nomale
135,78,fat
162,78,fat
173,40,tine
154,59,nomale
168,73,fat
129,76,fat
144,36,tine
123,46,fat
161,47,tine
151,46,nomale
175,65,nomale
155,73,fat
192,36,tine
173,38,tine
146,66,fat
136,68,fat
135,55,fat
158,62,nomale
133,80,fat
171,52,tine
125,73,fat
177,57,tine
179,66,nomale
157,69,fat
138,35,tine
173,47,tine
200,51,tine
142,69,fat
181,60,tine
150,53,nomale
195,51,tine
181,75,nomale
179,52,tine
161,39,tine
153,45,nomale
179,42,tine
169,35,tine
148,79,fat
144,50,nomale
165,74,fat
165,43,tine
181,36,tine
182,65,nomale
195,67,tine
170,68,nomale
144,62,fat
162,42,tine
148,36,tine
146,49,nomale
126,52,fat
137,56,fat
187,78,nomale
161,35,tine
128,47,fat
178,66,nomale
131,44,fat
152,51,nomale
120,49,fat
136,67,fat
160,48,nomale
133,60,fat
166,54,nomale
155,63,fat
124,53,fat
145,71,fat
141,79,fat
169,38,tine
176,72,nomale
130,58,fat
127,51,fat
197,45,tine
127,37,nomale
146,46,nomale
164,53,nomale
167,78,fat
142,48,nomale
138,37,nomale
197,66,tine
126,77,fat
167,39,tine
136,42,nomale
198,43,tine
190,43,tine
134,38,nomale
142,70,fat
128,38,nomale
193,76,nomale
142,47,nomale
199,75,nomale
200,73,tine
175,69,nomale
171,66,nomale
162,53,nomale
137,73,fat
141,44,nomale
141,68,fat
135,45,nomale
122,53,fat
138,44,nomale
144,38,tine
190,51,tine
186,75,nomale
159,42,tine
177,35,tine
148,55,fat
172,42,tine
160,61,nomale
123,56,fat
138,77,fat
170,53,tine
137,73,fat
143,44,nomale
126,40,fat
155,51,nomale
197,49,tine
177,78,nomale
132,66,fat
157,75,fat
131,76,fat
125,39,nomale
137,43,nomale
153,65,fat
156,35,tine
170,37,tine
137,44,nomale
173,80,fat
146,52,nomale
188,62,tine
186,73,nomale
183,78,nomale
156,52,nomale
160,69,fat
175,51,tine
120,64,fat
187,47,tine
187,62,tine
122,53,fat
174,79,fat
150,74,fat
190,49,tine
137,55,fat
151,64,fat
134,40,nomale
132,62,fat
132,79,fat
192,68,tine
137,65,fat
171,41,tine
155,61,fat
123,46,fat
125,77,fat
199,65,tine
148,50,nomale
174,41,tine
171,58,nomale
168,45,tine
146,65,fat
152,71,fat
166,80,fat
172,47,tine
156,79,fat
165,53,nomale
198,40,tine
166,67,nomale
124,75,fat
155,43,tine
183,67,nomale
200,66,tine
146,74,fat
179,53,tine
169,49,tine
142,40,nomale
145,36,tine
140,73,fat
174,48,tine
197,66,tine
152,60,fat
176,36,tine
191,58,tine
194,57,tine
188,41,tine
194,35,tine
150,68,fat
193,38,tine
121,51,fat
195,44,tine
140,66,fat
193,70,nomale
127,61,fat
196,80,nomale
191,45,tine
122,61,fat
177,61,nomale
173,61,nomale
120,48,fat
155,40,tine
181,77,nomale
177,42,tine
194,73,nomale
195,54,tine
165,61,nomale
126,71,fat
126,72,fat
126,52,fat
120,74,fat
194,43,tine
140,43,nomale
184,39,tine
160,37,tine
181,35,tine
125,47,fat
144,59,fat
178,41,tine
170,69,nomale
165,73,fat
200,80,nomale
137,53,fat
184,70,nomale
146,66,fat
199,76,nomale
172,44,tine
180,38,tine
135,54,fat
189,65,tine
122,63,fat
178,38,tine
194,36,tine
136,73,fat
148,49,nomale
165,54,nomale
150,45,nomale
161,54,nomale
168,54,nomale
143,67,fat
178,54,tine
133,73,fat
163,66,nomale
126,68,fat
166,51,nomale
130,39,nomale
200,39,tine
163,63,nomale
138,66,fat
160,73,fat
188,58,tine
189,80,nomale
155,40,tine
129,60,fat
182,59,tine
169,42,tine
198,39,tine
158,42,tine
122,50,fat
179,50,tine
123,59,fat
132,53,fat
146,48,nomale
124,67,fat
132,48,fat
183,55,tine
158,76,fat
170,49,tine
186,51,tine
198,63,tine
199,68,tine
185,62,tine
146,61,fat
199,56,tine
170,68,nomale
160,55,nomale
157,38,tine
141,66,fat
150,62,fat
183,65,nomale
166,70,fat
195,46,tine
140,49,fat
125,40,fat
138,55,fat
120,67,fat
132,53,fat
195,79,nomale
125,37,nomale
170,67,nomale
146,54,fat
169,78,fat
150,60,fat
159,80,fat
136,68,fat
140,66,fat
199,36,tine
171,68,nomale
146,65,fat
189,53,tine
134,79,fat
123,41,fat
154,80,fat
148,53,nomale
179,39,tine
128,57,fat
160,36,tine
163,64,nomale
154,38,tine
191,79,nomale
169,36,tine
175,43,tine
152,66,fat
141,64,fat
154,60,fat
138,53,fat
175,41,tine
163,75,fat
199,63,tine
162,38,tine
146,60,fat
161,41,tine
139,42,nomale
164,61,nomale
141,39,nomale
153,49,nomale
161,50,nomale
170,36,tine
169,52,tine
191,72,nomale
127,64,fat
186,61,tine
166,58,nomale
193,51,tine
142,61,fat
165,51,nomale
126,36,nomale
174,56,tine
193,79,nomale
185,79,nomale
134,40,nomale
122,51,fat
195,73,nomale
151,74,fat
170,78,fat
197,47,tine
121,58,fat
131,51,fat
187,50,tine
200,58,tine
162,47,tine
197,61,tine
121,51,fat
193,72,nomale
196,59,tine
136,55,fat
120,80,fat
173,36,tine
192,54,tine
131,39,nomale
171,71,nomale
196,51,tine
128,65,fat
124,54,fat
150,67,fat
165,75,fat
164,75,fat
155,40,tine
141,74,fat
188,67,nomale
124,65,fat
143,42,nomale
132,35,nomale
194,39,tine
136,48,fat
179,72,nomale
148,78,fat
127,74,fat
138,66,fat
164,71,fat
159,51,nomale
185,44,tine
133,60,fat
146,61,fat
178,69,nomale
150,39,tine
173,71,nomale
191,71,nomale
144,43,nomale
132,40,nomale
166,75,fat
189,36,tine
149,62,fat
132,67,fat
123,64,fat
174,54,tine
193,39,tine
188,41,tine
137,79,fat
142,66,fat
128,40,nomale
125,71,fat
182,48,tine
153,72,fat
190,49,tine
142,74,fat
151,70,fat
159,68,fat
166,59,nomale
189,39,tine
158,43,tine
148,52,nomale
130,68,fat
132,69,fat
144,59,fat
174,41,tine
198,55,tine
191,77,nomale
200,79,nomale
160,68,fat
183,46,tine
179,61,nomale
145,68,fat
139,38,nomale
173,61,nomale
120,41,fat
188,41,tine
160,45,tine
171,50,tine
147,50,nomale
141,56,fat
197,73,nomale
125,61,fat
186,72,nomale
157,78,fat
125,56,fat
140,51,fat
179,67,nomale
145,74,fat
152,44,nomale
131,40,nomale
171,42,tine
198,47,tine
140,42,nomale
194,60,tine
197,77,nomale
183,69,nomale
162,52,nomale
127,62,fat
200,77,nomale
193,35,tine
120,40,fat
122,40,fat
190,71,nomale
163,45,tine
145,66,fat
196,59,tine
135,57,fat
159,36,tine
134,61,fat
179,54,tine
193,37,tine
136,64,fat
121,40,fat
187,68,nomale
187,55,tine
172,40,tine
153,43,tine
185,55,tine
123,46,fat
121,60,fat
137,80,fat
199,62,tine
196,43,tine
179,35,tine
171,79,fat
139,69,fat
183,39,tine
144,76,fat
137,41,nomale
167,44,tine
186,70,nomale
127,61,fat
156,70,fat
176,80,fat
199,77,nomale
172,62,nomale
154,59,nomale
151,61,fat
121,68,fat
186,63,tine
144,70,fat
190,39,tine
178,50,tine
131,42,nomale
136,46,nomale
191,42,tine
155,51,nomale
185,59,tine
154,79,fat
168,63,nomale
183,46,tine
195,55,tine
183,77,nomale
144,41,nomale
190,70,nomale
169,54,nomale
179,47,tine
191,53,tine
191,51,tine
120,78,fat
159,54,nomale
191,58,tine
200,42,tine
147,40,nomale
149,42,nomale
165,41,tine
190,40,tine
136,58,fat
178,62,nomale
134,53,fat
173,37,tine
162,69,fat
199,74,nomale
127,51,fat
163,76,fat
159,55,nomale
194,65,tine
188,57,tine
171,61,nomale
166,64,nomale
140,71,fat
181,69,nomale
136,77,fat
188,60,tine
181,74,nomale
136,64,fat
199,68,tine
189,48,tine
143,60,fat
148,68,fat
139,69,fat
136,66,fat
198,52,tine
184,58,tine
138,75,fat
161,39,tine
163,48,tine
138,76,fat
161,36,tine
199,45,tine
121,48,fat
169,36,tine
134,64,fat
130,66,fat
156,42,tine
126,54,fat
123,57,fat
188,64,tine
172,68,nomale
187,61,tine
172,67,nomale
183,37,tine
123,40,fat
145,80,fat
174,45,tine
164,39,tine
128,61,fat
142,46,nomale
149,78,fat
164,45,tine
173,64,nomale
188,41,tine
174,35,tine
138,67,fat
167,47,tine
161,66,fat
184,37,tine
180,41,tine
196,68,tine
168,49,tine
191,71,nomale
148,35,tine
173,55,tine
166,63,nomale
196,78,nomale
122,42,fat
176,35,tine
197,80,nomale
167,74,fat
187,73,nomale
158,79,fat
150,55,nomale
162,77,fat
193,37,tine
196,60,tine
187,42,tine
120,37,fat
141,49,nomale
145,49,nomale
137,77,fat
165,52,nomale
177,61,nomale
152,38,tine
132,52,fat
129,42,fat
156,71,fat
152,75,fat
127,52,fat
160,68,fat
143,61,fat
139,66,fat
190,38,tine
154,72,fat
161,57,nomale
144,41,nomale
200,76,nomale
196,49,tine
126,64,fat
165,54,nomale
149,64,fat
126,54,fat
121,63,fat
150,74,fat
200,57,tine
128,37,nomale
123,37,nomale
173,77,fat
185,73,nomale
186,47,tine
182,68,nomale
182,38,tine
197,76,nomale
174,50,tine
163,68,fat
184,63,nomale
122,50,fat
135,67,fat
155,55,nomale
195,55,tine
180,37,tine
145,42,nomale
162,77,fat
145,36,tine
188,75,nomale
184,37,tine
169,63,nomale
142,69,fat
158,67,fat
196,78,nomale
122,52,fat
132,50,fat
121,59,fat
146,72,fat
136,63,fat
125,59,fat
145,56,fat
200,64,tine
186,65,nomale
168,65,nomale
159,35,tine
142,46,nomale
142,70,fat
181,56,tine
145,35,tine
151,74,fat
184,80,nomale
189,42,tine
149,54,nomale
124,71,fat
193,60,tine
126,44,fat
154,41,tine
196,48,tine
199,50,tine
157,58,nomale
151,58,fat
198,41,tine
132,78,fat
168,41,tine
146,46,nomale
126,40,fat
178,36,tine
164,70,fat
148,57,fat
181,71,nomale
156,67,fat
199,41,tine
170,48,tine
181,55,tine
120,80,fat
194,42,tine
189,39,tine
125,50,fat
130,43,fat
167,75,fat
124,51,fat
170,80,fat
170,55,nomale
184,68,nomale
142,63,fat
139,57,fat
141,54,fat
131,69,fat
145,45,nomale
180,55,tine
188,77,nomale
159,50,nomale
177,60,nomale
191,71,nomale
174,35,tine
160,47,tine
189,68,nomale
155,43,tine
148,73,fat
184,46,tine
173,72,nomale
158,47,nomale
138,42,nomale
189,51,tine
152,74,fat
166,48,tine
146,38,tine
140,73,fat
198,46,tine
191,53,tine
184,41,tine
184,51,tine
132,62,fat
128,56,fat
187,57,tine
164,50,nomale
125,52,fat
175,51,tine
178,63,nomale
126,51,fat
144,76,fat
152,40,tine
137,72,fat
151,40,tine
131,70,fat
